,Model,CUREv1,ChatDoctorRetrieval,EnglishHealthcare1Retrieval
0,NV-Embed-v2,62.8870909090909,71.724,50.756
1,voyage-3-large,62.5039393939394,73.897,66.033
2,Qwen3-Embedding-8B,60.847515151515154,73.219,63.231
3,Linq-Embed-Mistral,60.03909090909091,,
4,GritLM-8x7B,59.8759696969697,,
5,gemini-embedding-001,59.57460606060606,73.52300000000001,63.378
6,GritLM-7B,58.63690909090909,69.662,58.91499999999999
7,NV-Embed-v1,58.53963636363637,,
8,voyage-3.5 (output_dtype=int8),57.99672727272727,69.808,59.992000000000004
9,voyage-3.5,57.99527272727273,69.8,59.879000000000005
10,text-embedding-3-large,57.86790909090909,66.687,56.601
11,SFR-Embedding-Mistral,56.93921212121212,,
12,e5-mistral-7b-instruct,56.7860303030303,65.68,53.154999999999994
13,Cohere-embed-multilingual-v3.0,55.577393939393936,57.969,53.224000000000004
14,inf-retriever-v1,55.11775757575757,,
15,snowflake-arctic-embed-l-v2.0,54.7429696969697,,
16,gte-Qwen2-1.5B-instruct,53.66142424242424,,
17,SFR-Embedding-2_R,53.4000303030303,,
18,jina-embeddings-v4,53.229272727272736,64.09,59.128
19,jasper_en_vision_language_v1,52.769636363636366,,
20,Cohere-embed-v4.0 (output_dtype=int8),52.76833333333334,72.584,64.595
21,Cohere-embed-v4.0,52.674727272727274,72.528,64.68
22,snowflake-arctic-embed-m-v2.0,52.279212121212126,,56.36600000000001
23,bge-m3,51.94939393939394,57.973,55.187
24,multilingual-e5-large,51.62124242424242,56.871,
25,gte-multilingual-base,51.28336363636363,63.836000000000006,60.728
26,voyage-multilingual-2,51.18745454545455,,
27,gte-Qwen2-7B-instruct,51.07263636363637,,
28,stella_en_1.5B_v5,50.108,,
29,USER-bge-m3,49.3409696969697,,
30,voyage-3,48.94221212121212,,
31,voyage-3.5 (output_dtype=binary),48.579606060606054,63.768,52.754
32,text-embedding-005,48.0840606060606,73.21,62.632
33,Cohere-embed-v4.0 (output_dtype=binary),47.82354545454545,67.976,59.160999999999994
34,inf-retriever-v1-1.5b,47.557242424242425,,
35,text-embedding-3-small,46.84387878787879,57.836,53.968
36,jina-embeddings-v3,46.306090909090905,,
37,bge-m3-unsupervised,45.93863636363636,47.542,56.296
38,gte-Qwen1.5-7B-instruct,45.64678787878788,,
39,text-multilingual-embedding-002,44.896787878787876,,
40,Cohere-embed-multilingual-light-v3.0,44.83866666666667,,
41,multilingual-e5-base,44.82154545454545,,
42,KaLM-embedding-multilingual-mini-v1,44.1790303030303,,
43,bge-m3-custom-fr,43.99184848484848,,
44,Solon-embeddings-large-0.1,43.96642424242424,,
45,granite-embedding-278m-multilingual,43.38260606060606,,
46,bilingual-embedding-large,43.09551515151515,,
47,multilingual-e5-large-instruct,42.76439393939393,55.215,51.731
48,bilingual-embedding-base,42.639909090909086,,
49,Cohere-embed-english-v3.0,41.21039393939394,54.864000000000004,54.81
50,snowflake-arctic-embed-l,40.6530303030303,,
51,granite-embedding-107m-multilingual,40.04245454545455,,
52,multilingual-e5-small,39.77566666666667,45.097,50.168
53,e5-large,38.97742424242425,,
54,voyage-3-lite,37.49139393939394,,
55,voyage-large-2-instruct,37.11784848484848,,
56,e5-large-v2,36.773606060606056,,
57,snowflake-arctic-embed-m,36.49490909090909,,
58,snowflake-arctic-embed-m-long,36.19466666666667,,
59,snowflake-arctic-embed-m-v1.5,35.5910303030303,,
60,e5-base,35.030727272727276,,
61,KaLM-embedding-multilingual-mini-instruct-v1,34.58048484848485,,
62,b1ade-embed,34.13663636363636,,
63,bge-large-en,33.81687878787879,57.851,49.429
64,mxbai-embed-large-v1,33.55857575757576,60.313,52.817
65,gte-large,33.269333333333336,,
66,UAE-Large-V1,33.25069696969697,60.242,52.949999999999996
67,bge-large-en-v1.5,33.048272727272725,59.073,51.400999999999996
68,e5-base-v2,32.58451515151515,,
69,nomic-embed-text-v1-ablated,32.55321212121211,,
70,bge-base-en-v1.5,31.803242424242423,55.393,50.141000000000005
71,Cohere-embed-english-light-v3.0,31.65718181818182,,
72,bilingual-embedding-small,31.299424242424244,,
73,snowflake-arctic-embed-s,31.277848484848487,,
74,stella_en_400M_v5,31.179969696969696,,
75,gte-base,31.024,,
76,e5-small,30.74954545454545,,
77,Arabic-all-nli-triplet-Matryoshka,30.726848484848485,,
78,GIST-large-Embedding-v0,30.624999999999996,,
79,mdbr-leaf-ir,30.436909090909094,51.888,53.75299999999999
80,paraphrase-multilingual-mpnet-base-v2,30.228787878787877,31.002000000000002,34.925
81,bge-base-en,29.825060606060603,54.138,49.413000000000004
82,sentence_croissant_alpha_v0.4,29.62009090909091,,
83,granite-embedding-125m-english,29.383696969696967,,
84,sentence_croissant_alpha_v0.3,29.3710303030303,,
85,jina-embedding-b-en-v1,29.166272727272723,,
86,nomic-embed-text-v1-unsupervised,28.607181818181814,,
87,e5-small-v2,28.604393939393937,,
88,GIST-Embedding-v0,28.356060606060606,,
89,nomic-embed-text-v1,28.223969696969696,,
90,stella-base-en-v2,27.880272727272725,,
91,gte-base-en-v1.5,27.19036363636364,57.518,57.979
92,paraphrase-multilingual-MiniLM-L12-v2,26.217939393939393,31.493,33.494
93,sentence_croissant_alpha_v0.2,26.060181818181817,,
94,MedEmbed-small-v0.1,26.001121212121213,,
95,e5-base-4k,25.784030303030303,,
96,gte-small,25.63160606060606,,
97,bge-small-en-v1.5,25.400757575757577,53.055,49.235
98,snowflake-arctic-embed-xs,25.20081818181818,,
99,mdbr-leaf-mt,25.055424242424245,53.541000000000004,51.22
100,nomic-embed-text-v1.5,24.98345454545455,,
101,granite-embedding-30m-english,24.03218181818182,,
102,Arabic-MiniLM-L12-v2-all-nli-triplet,23.144787878787877,,
103,NoInstruct-small-Embedding-v0,22.970151515151514,,
104,Arabic-labse-Matryoshka,22.323242424242423,,
105,LaBSE-ru-turbo,21.841727272727272,,
106,GIST-small-Embedding-v0,21.794393939393938,,
107,STS-multilingual-mpnet-base-v2,21.672545454545453,,
108,sgpt-bloom-7b1-msmarco,21.607242424242425,,
109,jina-embedding-s-en-v1,21.062818181818184,,
110,Ivysaur,20.527272727272727,,
111,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,19.956696969696967,,
112,static-similarity-mrl-multilingual-v1,19.597181818181816,15.351999999999999,45.599000000000004
113,embedder-100p,19.10369696969697,,
114,mmlw-e5-large,19.062242424242424,,
115,jina-embeddings-v2-small-en,18.604757575757574,46.298,51.147
116,text2vec-base-multilingual,18.574545454545454,23.399,22.796
117,all-mpnet-base-v2,18.313484848484848,57.152,46.849000000000004
118,all-MiniLM-L12-v2,18.231272727272728,53.294,38.080999999999996
119,multi-qa-MiniLM-L6-cos-v1,17.959666666666667,46.143,45.016
120,GIST-all-MiniLM-L6-v2,16.679969696969696,,
121,all-MiniLM-L6-v2,16.53990909090909,52.946000000000005,41.778
122,slx-v0.1,16.53990909090909,,
123,arabic-english-sts-matryoshka,16.35451515151515,,
124,mmlw-e5-base,16.116666666666667,,
125,potion-multilingual-128M,16.113090909090907,13.624,34.266999999999996
126,mmlw-roberta-large,15.46690909090909,,
127,gte-micro-v4,15.380818181818185,,
128,Bulbasaur,15.233909090909092,,
129,mmlw-roberta-base,14.841181818181818,,
130,ru-en-RoSBERTa,14.119939393939394,,
131,LaBSE,14.003848484848486,13.533999999999999,30.955
132,KartonBERT-USE-base-v1,13.81827272727273,,
133,bm25s,13.697939393939393,31.764,68.748
134,mmlw-e5-small,12.903636363636364,,
135,st-polish-kartonberta-base-alpha-v1,12.71760606060606,,
136,gte-micro,12.056636363636365,,
137,bge-large-zh-v1.5,11.423939393939394,18.648,38.579
138,pubmedbert-base-embeddings-8M,11.268969696969696,,
139,bge-base-zh-v1.5,11.224121212121211,15.915000000000001,38.917
140,cai-lunaris-text-embeddings,11.200212121212122,,
141,Wartortle,11.06451515151515,,
142,M2V_multilingual_output,10.66021212121212,3.759,26.218000000000004
143,potion-base-8M,10.415636363636363,17.163,38.489000000000004
144,Venusaur,9.604636363636363,,
145,Squirtle,9.237969696969698,,
146,udever-bloom-7b1,9.22551515151515,,
147,potion-base-4M,9.19430303030303,14.801,35.510999999999996
148,M2V_base_glove_subword,8.962666666666665,8.952,38.004
149,LaBSE-en-ru,8.885787878787879,,
150,M2V_base_glove,8.751454545454546,11.054,39.324
151,udever-bloom-1b1,8.621545454545455,,
152,pubmedbert-base-embeddings-2M,8.435939393939394,,
153,German_Semantic_STS_V2,8.407393939393938,,
154,pubmedbert-base-embeddings-1M,8.394181818181819,,
155,M2V_base_output,8.241454545454545,8.545,33.805
156,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,7.930515151515151,,
157,pubmedbert-base-embeddings-500K,7.714333333333332,,
158,potion-base-2M,7.555636363636364,10.22,30.306
159,USER-base,7.448,,
160,speed-embedding-7b-instruct,7.15830303030303,,
161,rubert-tiny-turbo,7.144515151515152,,
162,udever-bloom-3b,5.954727272727273,,
163,bge-small-zh-v1.5,5.607757575757575,8.526,30.073
164,text2vec-base-chinese,3.922757575757576,4.361000000000001,14.438
165,pubmedbert-base-embeddings-100K,3.5230303030303034,,
166,udever-bloom-560m,3.147090909090909,,
167,Arabic-mpnet-base-all-nli-triplet,2.4206666666666665,,
168,distilrubert-small-cased-conversational,2.4057575757575758,,
169,rubert-tiny2,1.8236969696969696,,
170,gemma-2b-embeddings,1.8174848484848485,,
171,Arabert-all-nli-triplet-Matryoshka,1.6244848484848484,,
172,silma-embeddding-matryoshka-v0.1,1.5117878787878787,,
173,rubert-tiny,1.3706969696969697,,
174,rubert-base-cased-sentence,0.967060606060606,,
175,sbert_large_mt_nlu_ru,0.7114545454545455,,
176,Marbert-all-nli-triplet-Matryoshka,0.6198787878787878,,
177,ternary-weight-embedding,0.46893939393939393,,
178,sbert_large_nlu_ru,0.3407878787878788,,
179,rubert-base-cased,0.19372727272727275,,
180,deberta-v1-base,0.19233333333333333,,
181,jina-embeddings-v2-base-en,0.08896969696969696,54.413,54.313
182,text-embedding-004,,72.861,64.518
