,Model,AILACasedocs,AILAStatutes,LegalSummarization
0,voyage-3-large,45.773,52.196,75.74300000000001
1,Qwen3-Embedding-8B,46.322,85.086,70.741
2,gemini-embedding-001,48.325,48.77,71.221
3,voyage-3.5,39.888,47.821000000000005,79.206
4,voyage-3.5 (output_dtype=int8),39.602,47.571999999999996,78.914
5,text-embedding-3-large,39.479,41.85,72.636
6,voyage-law-2,44.555,45.51,68.964
7,voyage-3.5 (output_dtype=binary),39.072,41.247,74.68
8,voyage-3,40.589999999999996,42.489,69.226
9,inf-retriever-v1,41.162,37.727,69.76
10,Linq-Embed-Mistral,36.413000000000004,39.228,72.036
11,SFR-Embedding-Mistral,36.675000000000004,37.467,71.04700000000001
12,GritLM-7B,35.292,41.8,70.645
13,SFR-Embedding-2_R,36.217,41.682,69.451
14,e5-mistral-7b-instruct,36.662,34.535,70.86099999999999
15,inf-retriever-v1-1.5b,37.574999999999996,34.69,67.927
16,jasper_en_vision_language_v1,37.315,31.923000000000002,69.06
17,GritLM-8x7B,32.84,39.044000000000004,68.64
18,jina-embeddings-v4,45.202999999999996,50.131,59.937
19,SearchMap_Preview,37.646,41.518,61.595
20,text-embedding-005,34.474,35.394,64.074
21,text-embedding-004,34.165,41.036,62.663000000000004
22,snowflake-arctic-embed-m-v2.0,38.064,28.114,64.96
23,voyage-3-lite,38.153999999999996,35.032999999999994,61.41799999999999
24,gte-Qwen2-1.5B-instruct,31.195,34.886,68.357
25,text-embedding-3-small,34.899,28.335,69.34
26,KaLM-embedding-multilingual-mini-v1,32.734,34.71,64.45100000000001
27,gte-multilingual-base,37.269000000000005,33.572,62.534
28,multilingual-e5-large-instruct,33.33,29.659000000000002,68.065
29,gte-Qwen2-7B-instruct,29.738,33.765,66.57600000000001
30,KaLM-embedding-multilingual-mini-instruct-v1,37.799,37.6,60.01499999999999
31,NV-Embed-v1,25.074999999999996,42.902,68.581
32,bge-m3,36.126999999999995,29.042,63.246
33,stella_en_400M_v5,33.904,31.608000000000004,62.63999999999999
